"Story","Title","Result","Date","Stability","Duration (s)"
"Validar acceso a Web Page con error 500","Acceso a 500 page","SUCCESS","2023-10-16T14:28:35.57169-05:00[America/Bogota]","0.0","9.13"
"Verificar que la suma total a pagar sea correcta","Valor a pagar correcto","SUCCESS","2023-10-16T12:33:45.582361-05:00[America/Bogota]","0.0","11.34"
